# GENERATED by tools/genfont/mksymbols.py -- do not edit.
# Joined from lib/MicroTeX/res (vendored) and unicode-math-table.tex.
# codepoint is StaTeX's lookup key, not a claim about the character's identity;
# cp_source=pua means no Unicode codepoint names this glyph.
# unicode_math is filled in only where unicode-math-table.tex disagrees with the
# chosen codepoint. MicroTeX's tables win because they are what the existing
# atlas was built from; the column records the alternative so switching is a
# one-column edit rather than an archaeology exercise.
name	codepoint	cp_source	atomtype	takes_limits	delimiter	face	tfm_font	slot	ttf	unicode_math
diagdown	0x2572	microtex	Ordinary	0	0	3	msbm10	194	maths/msbm10.ttf	0x27CD
diagup	0x2571	microtex	Ordinary	0	0	3	msbm10	193	maths/msbm10.ttf	0x27CB
diamond	0x22C4	microtex	BinaryOp	0	0	3	cmsy10	166	maths/cmsy10.ttf	
diamondsuit	0x2662	microtex	Ordinary	0	0	3	cmsy10	125	maths/cmsy10.ttf	
digamma	0xE022	pua	Ordinary	0	0	3	msbm10	122	maths/msbm10.ttf	
div	0x00F7	microtex	BinaryOp	0	0	3	cmsy10	165	maths/cmsy10.ttf	
divideontimes	0x22C7	microtex	BinaryOp	0	0	3	msbm10	62	maths/msbm10.ttf	
doteqdot	0x2251	microtex	Relation	0	0	3	msam10	43	maths/msam10.ttf	
dotplus	0x2214	microtex	BinaryOp	0	0	3	msam10	117	maths/msam10.ttf	
doublebarwedge	0x2306	microtex	BinaryOp	0	0	3	msam10	91	maths/msam10.ttf	0x2A5E
downarrow	0x2193	microtex	Relation	0	1	3	cmsy10	35	maths/cmsy10.ttf	
downdownarrows	0x21CA	microtex	Relation	0	0	3	msam10	184	maths/msam10.ttf	
downharpoonleft	0x21C3	microtex	Relation	0	0	3	msam10	188	maths/msam10.ttf	
downharpoonright	0x21C2	microtex	Relation	0	0	3	msam10	186	maths/msam10.ttf	
ell	0x2113	microtex	Ordinary	0	0	3	cmmi10_unchanged	96	base/cmmi10.ttf	
emptyset	0xE023	pua	Ordinary	0	0	3	cmsy10	59	maths/cmsy10.ttf	
epsilon	0x03F5	microtex	Ordinary	0	0	3	cmmi10_unchanged	178	base/cmmi10.ttf	
eqcirc	0x2256	microtex	Relation	0	0	3	msam10	80	maths/msam10.ttf	
eqsim	0x2242	microtex	Relation	0	0	3	msbm10	104	maths/msbm10.ttf	
eqslantgtr	0x2A96	microtex	Relation	0	0	3	msam10	49	maths/msam10.ttf	
eqslantless	0x2A95	microtex	Relation	0	0	3	msam10	48	maths/msam10.ttf	
equals	0x003D	microtex	Relation	0	0	3	cmr10	61	latin/cmr10.ttf	
equiv	0x2261	microtex	Relation	0	0	3	cmsy10	180	maths/cmsy10.ttf	
eta	0x03B7	microtex	Ordinary	0	0	3	cmmi10_unchanged	180	base/cmmi10.ttf	
eth	0x00F0	microtex	Ordinary	0	0	3	msbm10	103	maths/msbm10.ttf	
euler	0x2107	microtex	Ordinary	0	0	3	cmmi10_unchanged	101	base/cmmi10.ttf	
euro	0x20AC	microtex	Ordinary	0	0	3	special	69	maths/special.ttf	
exists	0x2203	microtex	Ordinary	0	0	3	cmsy10	57	maths/cmsy10.ttf	
faculty	0x0021	microtex	Ordinary	0	0	3	cmr10	33	latin/cmr10.ttf	
fallingdotseq	0x2252	microtex	Relation	0	0	3	msam10	59	maths/msam10.ttf	
fatbslash	0xE024	pua	BinaryOp	0	0	3	stmary10	73	maths/stmary10.ttf	
fatsemi	0xE025	pua	BinaryOp	0	0	3	stmary10	67	maths/stmary10.ttf	
fatslash	0xE026	pua	BinaryOp	0	0	3	stmary10	72	maths/stmary10.ttf	
fg	0xE027	pua	Punctuation	0	0	3	i10	36	latin/i10.ttf	
flat	0x266D	microtex	Ordinary	0	0	3	cmmi10_unchanged	91	base/cmmi10.ttf	
forall	0x2200	microtex	Ordinary	0	0	3	cmsy10	56	maths/cmsy10.ttf	
frown	0x2322	unicode-math	Relation	0	0	3	cmmi10_unchanged	95	base/cmmi10.ttf	
gamma	0x03B3	microtex	Ordinary	0	0	3	cmmi10_unchanged	176	base/cmmi10.ttf	
ge	0x2265	microtex	Relation	0	0	3	cmsy10	184	maths/cmsy10.ttf	
geq	0x2265	microtex	Relation	0	0	3	cmsy10	184	maths/cmsy10.ttf	
geqq	0x2267	microtex	Relation	0	0	3	msam10	61	maths/msam10.ttf	
geqslant	0x2A7E	microtex	Relation	0	0	3	msam10	62	maths/msam10.ttf	
gets	0x2190	microtex	Relation	0	0	3	cmsy10	195	maths/cmsy10.ttf	
